Techstack,URL
"Pytorch, Big Data Analytics, ML, Time Series Forecasting, Deep Learning",https://github.com/PranavR149/SoilAnalysis
"Pytorch, RNN, Model Oprimization, Custome Model Fine Tuning, Deep Learning",https://github.com/PranavR149/SentimentNet
"Pytorch, CNN, Model Optimization, Custome Model Fine Tuning, Deep Learning",https://github.com/PranavR149/MiniVGG_Structural_Optimization
"Python, Regression, Scikit-learn, Pandas, Numpy, Statistical Analysis",https://github.com/PranavR149/Real_Estate_Price_Prediction
"Langchain, LLMs, GenAI, Streamlit, Docement Embedding",https://github.com/PranavR149/Interview_Q-A
"Langchain, LLMs, GenAI, Streamlit, Text Extraction, Prompt Engineering",https://github.com/PranavR149/Resume_Analyser
"SQL, Databases, Python, MySQL Workbench",https://github.com/PranavR149/E-Commerce_DBMS_GUI
"Deep Learning, CNN, Model Fine Tuning, Model Optimization",https://github.com/PranavR149/Soil_Types_ImageClassification
"Python, ML, EDA, Business Strategy, Pandas, Numpy, Matplotlib",https://github.com/PranavR149/Employee_Attrition
"Python, ML, Data Analytics, Scikit-learn, Pandas, Numpy, Matplotlib, Classification",https://github.com/PranavR149/Waste-Classification
"Python, Big Data Analytics, ML, EDA, Data Analytics",https://github.com/PranavR149/Appstronomics---Python-ML
"Python, ML, Data Analytics, NLP, NLTK",https://github.com/PranavR149/Fake-Job-Classification---Python-ML
"Python, ML, Data Analytics, Scikit-learn, Pandas, Numpy, Matplotlib, Classification",https://github.com/PranavR149/Ocean-Cleanup---Python-ML
"Tableau, EDA, Data Visualization, Data Analysis",https://github.com/PranavR149/Delinquency-in-Adolescents---Tableau
